,Local authority,ONS code,Class of authority,,,Conservative,Labour,Liberal Democrat,Green,Others/independent,Vacant,Total,,Conservative,Labour,Liberal Democrat,Green,Others/independent,,Conservative,Labour,Liberal Democrat,Green,Others/independent,
,Adur,E07000223,Shire district,N,2016,19,7,0,1,2,0,29,,66%,24%,0%,3%,7%,,3,0,0,1,-4,
,Amber Valley,E07000032,Shire district,N,2016,28,16,0,1,0,0,45,,62%,36%,0%,2%,0%,,9,-9,0,0,0,
,Barnsley,E08000016,Metropolitan district,N,2016,3,49,7,0,4,0,63,,5%,78%,11%,0%,6%,,0,-1,3,0,-2,
,Basildon,E07000066,Shire district,N,2016,22,12,0,0,8,0,42,,52%,29%,0%,0%,19%,,4,-2,0,0,-2,
,Basingstoke & Deane,E07000084,Shire district,Y,n/a,33,10,5,0,6,0,54,,61%,19%,9%,0%,11%,,4,-8,-2,0,6,
,Blackburn with Darwen,E06000008,Unitary authority,N,2018,14,35,1,0,1,0,51,,27%,69%,2%,0%,2%,,1,0,-1,0,0,
,Bolton,E08000001,Metropolitan district,N,2016,21,19,5,0,15,0,60,,35%,32%,8%,0%,25%,,4,-5,0,0,1,
,Bradford,E08000032,Metropolitan district,N,2016,25,51,7,3,4,0,90,,28%,57%,8%,3%,4%,,4,-1,-1,1,-3,
,Brentwood,E07000068,Shire district,N,2016,22,2,13,0,0,0,37,,59%,5%,35%,0%,0%,,3,-1,-1,0,-1,
,Bristol,E06000023,Unitary authority,N,2016,14,24,8,24,0,0,70,,20%,34%,11%,34%,0%,,0,-13,0,13,0,
,Broxbourne,E07000095,Shire district,N,2016,27,3,0,0,0,0,30,,90%,10%,0%,0%,0%,,0,0,0,0,0,
,Buckinghamshire,E06000060,Unitary authority,Y,n/a,113,4,15,1,14,0,147,,77%,3%,10%,1%,10%,,-10,1,3,1,5,
,Burnley,E07000117,Shire district,N,2016,9,18,8,5,5,0,45,,20%,40%,18%,11%,11%,,3,-3,-3,3,0,
,Bury,E08000002,Metropolitan district,N,2016,15,27,4,0,5,0,51,,29%,53%,8%,0%,10%,,0,-2,0,0,2,
,Calderdale,E08000033,Metropolitan district,N,2016,16,28,5,0,2,0,51,,31%,55%,10%,0%,4%,,2,0,-2,0,0,
,Cambridge,E07000008,Shire district,Y,n/a,0,27,12,2,1,0,42,,0%,64%,29%,5%,2%,,0,1,-3,2,0,
,Cambridgeshire,E10000003,County,N,2017,28,9,20,0,4,0,61,,46%,15%,33%,0%,7%,,-8,2,5,0,1,
,Cannock Chase,E07000192,Shire district,N,2016,24,9,2,1,5,0,41,,59%,22%,5%,2%,12%,,9,-9,0,-1,1,
